Data,Valor Real,Valor Previsto
2020-03-06,9.530000,10.379273
2020-03-09,7.970000,10.226908
2020-03-10,9.400000,9.927453
2020-03-11,8.500000,9.615708
2020-03-12,7.160000,9.255706
2020-03-13,8.700000,8.959999
2020-03-16,7.900000,8.673729
2020-03-17,8.170000,8.432937
2020-03-18,7.400000,8.2342615
2020-03-19,7.180000,8.056667
2020-03-20,6.980000,7.91527
2020-03-23,6.580000,7.770904
2020-03-24,7.500000,7.6431737
2020-03-25,8.040000,7.575537
2020-03-26,8.320000,7.623358
2020-03-27,7.840000,7.7498865
2020-03-30,8.040000,7.9153013
2020-03-31,8.290000,8.088857
2020-04-01,8.150000,8.22251
2020-04-02,8.150000,8.318181
2020-04-03,7.580000,8.358954
2020-04-06,8.110000,8.351929
2020-04-07,8.380000,8.355007
2020-04-08,8.440000,8.375113
2020-04-09,8.500000,8.421742
2020-04-13,8.570000,8.474967
2020-04-14,8.590000,8.5409565
2020-04-15,8.260000,8.5750265
2020-04-16,8.130000,8.558555
2020-04-17,8.360000,8.502577
2020-04-20,7.990000,8.413692
2020-04-21,7.790000,8.294787
2020-04-22,7.970000,8.162827
2020-04-23,7.860000,8.044583
2020-04-24,7.670000,7.952486
2020-04-27,7.880000,7.8952746
2020-04-28,8.110000,7.884328
2020-04-29,8.760000,7.928703
2020-04-30,8.250000,8.027094
2020-05-01,7.980000,8.12819
2020-05-04,7.980000,8.179534
2020-05-05,7.810000,8.182869
2020-05-06,7.780000,8.140405
2020-05-07,7.930000,8074
2020-05-08,8.520000,8.022525
2020-05-11,8.230000,8.023171
2020-05-12,8.100000,8.0811615
2020-05-13,8.180000,8.171394
2020-05-14,8.240000,8.236119
2020-05-15,8.270000,8.276234
2020-05-18,9.010000,8.343955
2020-05-19,9.070000,8.4658785
2020-05-20,9.270000,8.652156
2020-05-21,9.130000,8.866908
2020-05-22,8.980000,9.0418415
2020-05-26,9.110000,9.166464
2020-05-27,9.570000,9.243218
2020-05-28,9.310000,9.30698
2020-05-29,9.760000,9.360903
2020-06-01,9.840000,9.429596
2020-06-02,10.260000,9.533601
2020-06-03,10.570000,9.7135
2020-06-04,10.840000,9.94151
2020-06-05,11.040000,10.230531
2020-06-08,11.270000,10.534454
2020-06-09,11.220000,10.777091
2020-06-10,11.020000,10.946495
2020-06-11,10.250000,10.9716835
2020-06-12,10.630000,10.874538
2020-06-15,10.610000,10.674472
2020-06-16,10.660000,10.49501
2020-06-17,10.740000,10.383502
2020-06-18,10.550000,10.335845
2020-06-19,10.310000,10.336549
2020-06-22,10.460000,10.359464
2020-06-23,10.800000,10.419824
2020-06-24,10.400000,10.503184
2020-06-25,10.560000,10.562466
2020-06-26,10.190000,10.569204
2020-06-29,10.210000,10.5233555
2020-06-30,10.310000,10.434368
2020-07-01,10.280000,10.349302
2020-07-02,10.410000,10.300551
2020-07-06,10.600000,10.311119
2020-07-07,10.470000,10.37846
2020-07-08,10.760000,10.485829
2020-07-09,10.630000,10.614244
2020-07-10,10.790000,10.706323
2020-07-13,10.780000,10.774395
2020-07-14,11.600000,10.813975
2020-07-15,11.540000,10.920933
2020-07-16,11.280000,11.079562
2020-07-17,11.310000,11.237545
2020-07-20,11.440000,11.342111
2020-07-21,11.460000,11.392291
2020-07-22,11.580000,11.432427
2020-07-23,11.290000,11.466324
2020-07-24,11.260000,11.452407
2020-07-27,11.910000,11.41559
2020-07-28,11.740000,11.401144
2020-07-29,12.090000,11.449054
2020-07-30,11.850000,11.551622
2020-07-31,11.640000,11.658018
2020-08-03,11.420000,11.734723
2020-08-04,11.490000,11.705801
2020-08-05,11.760000,11.6437645
2020-08-06,11.530000,11.587138
2020-08-07,11.160000,11.519439
2020-08-10,11.360000,11.452513
2020-08-11,11.170000,11.410057
2020-08-12,11.310000,11.375065
2020-08-13,11.280000,11.36251
2020-08-14,11.330000,11.359483
2020-08-17,11.360000,11.363537
2020-08-18,11.600000,11.395799
2020-08-19,11.320000,11.454399
2020-08-20,11.380000,11.460571
2020-08-21,11.080000,11.4104805
2020-08-24,11.300000,11.34044
2020-08-25,11.220000,11.274484
2020-08-26,11.050000,11.230613
2020-08-27,10.930000,11.2062
2020-08-28,11.300000,11.190616
2020-08-31,11.000000,11.192416
2020-09-01,11.500000,11.209742
2020-09-02,11.430000,11.266151
2020-09-03,11.240000,11.324762
2020-09-04,11.380000,11.366525
2020-09-08,11.040000,11.355258
2020-09-09,11.320000,11.328375
2020-09-10,11.080000,11.308591
