Date,Emotion
2015-05-02,0.103093
2015-07-25,0.272727
2015-09-05,0.04
2015-10-01,0.15251996666666667
2015-10-03,0.179487
2015-10-10,0.319672
2015-10-13,0.310924
2015-10-14,0.259259
2015-10-29,0.22973
2015-10-30,0.1582225
2015-11-04,0.2219885
2015-11-05,0.21129566666666666
2015-11-06,0.267627
2015-11-07,0.164706
2015-11-08,0.168751
2015-11-09,0.20502375
2015-11-10,0.21189766666666668
2015-11-11,0.1946895
2015-11-12,0.5
2015-11-13,0.1502972
2015-11-14,0.161905
2015-11-15,0.14651150000000002
2015-11-16,0.2427042
2015-11-17,0.191656625
2015-11-18,0.18102883333333333
2015-11-19,0.21454147142857144
2015-11-20,0.237765
2015-11-22,0.20063740000000002
2015-11-23,0.16514
2015-11-24,0.2243674
2015-11-25,0.2147996
2015-11-26,0.1300370142857143
2015-11-27,0.16797135
2015-11-28,0.24
2015-11-29,0.22912775000000002
2015-11-30,0.19663425
2015-12-01,0.16496771666666665
2015-12-02,0.2390636
2015-12-03,0.1994305
2015-12-04,0.225293
2015-12-05,0.24597499999999997
2015-12-06,0.19106766666666666
2015-12-07,0.24542266666666665
2015-12-08,0.18466167
2015-12-09,0.18803550000000002
2015-12-10,0.19470657142857142
2015-12-11,0.19895025
2015-12-12,0.18724305555555557
2015-12-13,0.31
2015-12-14,0.1882905
2015-12-15,0.14604316666666667
2015-12-16,0.16874666666666668
2015-12-17,0.14797033333333334
2015-12-18,0.16818775
2015-12-21,0.229323
2015-12-22,0.18567566666666666
2015-12-23,0.2686805
2015-12-25,0.206522
2015-12-27,0.19357825
2015-12-28,0.252371
2015-12-29,0.157895
2015-12-30,0.18155475
2016-01-01,0.239422
2016-01-03,0.217105
2016-01-04,0.3935405
2016-01-05,0.23391825
2016-01-06,0.249983
2016-01-07,0.26683175000000003
2016-01-08,0.147047
2016-01-11,0.168421
2016-01-12,0.14687733333333333
2016-01-13,0.22105685714285714
2016-01-14,0.2588575
2016-01-15,0.1638178
2016-01-16,0.254902
2016-01-17,0.20332331999999997
2016-01-18,0.193313
2016-01-19,0.1786815125
2016-01-20,0.23228400000000002
2016-01-21,0.1674258333333333
2016-01-22,0.21930480000000002
2016-01-23,0.23357200000000003
2016-01-24,0.1838244
2016-01-25,0.2457136666666667
2016-01-26,0.12723025999999998
2016-01-27,0.3067245
2016-01-28,0.23697100000000001
2016-01-29,0.18994092222222222
2016-01-30,0.167215
2016-01-31,0.146789
2016-02-01,0.22245066666666669
2016-02-02,0.13077
2016-02-03,0.1548696
2016-02-04,0.18068243333333334
2016-02-05,0.15232475
2016-02-06,0.21389680000000003
2016-02-07,0.247661
2016-02-08,0.300569
2016-02-09,0.25395475
2016-02-10,0.2459313333333333
2016-02-11,0.22398625
2016-02-12,0.282738
2016-02-14,0.17655725
2016-02-15,0.17597566666666667
2016-02-16,0.282966
2016-02-17,0.22622033333333333
2016-02-18,0.207843
2016-02-19,0.16304525
2016-02-20,0.153846
2016-02-22,0.19209725
2016-02-23,0.21159119999999998
2016-02-24,0.1666665
2016-02-25,0.20043950000000002
2016-02-26,0.12864485
2016-02-27,0.15722684
2016-02-28,0.118421
2016-02-29,0.182847125
2016-03-01,0.15566733333333335
2016-03-02,0.257143
2016-03-03,0.1618141125
2016-03-04,0.1867188888888889
2016-03-05,0.1962082
2016-03-06,0.21145499999999998
2016-03-07,0.14508700000000002
2016-03-08,0.22842440000000003
2016-03-09,0.17017042857142856
2016-03-10,0.13231885000000002
2016-03-11,0.19262525
2016-03-12,0.18611234
2016-03-15,0.205882
2016-03-16,0.2088830076923077
2016-03-17,0.18904415294117646
2016-03-18,0.2274020111111111
2016-03-19,0.2106077142857143
2016-03-20,0.160599
2016-03-21,0.1900874
2016-03-22,0.167556875
2016-03-23,0.1164341
2016-03-24,0.21143066
2016-03-26,0.155768525
2016-03-27,0.12766
2016-03-28,0.17497566666666667
2016-03-29,0.17102033333333333
2016-03-30,0.3221875
2016-03-31,0.27510500000000004
2016-04-01,0.1446264
2016-04-02,0.18429757142857145
2016-04-03,0.411111
2016-04-04,0.14104766666666668
2016-04-05,0.1813451888888889
2016-04-06,0.3
2016-04-07,0.1771525
2016-04-08,0.1808445
2016-04-10,0.18665975
2016-04-11,0.17706278571428571
2016-04-12,0.3518515
2016-04-13,0.1441289
2016-04-14,0.2036895
2016-04-15,0.18686716666666667
2016-04-16,0.20793971428571428
2016-04-17,0.18034371666666668
2016-04-18,0.17949777777777778
2016-04-19,0.25633332857142854
2016-04-20,0.14601155000000002
2016-04-23,0.24
2016-04-24,0.212121
2016-04-25,0.2205883333333333
2016-04-26,0.221133
2016-04-27,0.1880875
