Date,Real,Predição
2017-05-31,10.500226974487305,10.593494
2017-06-01,10.372174263000488,10.585081
2017-06-02,10.670963287353516,10.440795
2017-06-05,10.670963287353516,10.6610155
2017-06-06,10.7990140914917,10.659886
2017-06-07,10.824624061584473,10.720098
2017-06-08,10.71364688873291,10.867387
2017-06-09,10.790477752685549,10.788758
2017-06-12,10.5429105758667,10.769083
2017-06-13,10.4148588180542,10.524958
2017-06-14,10.406322479248049,10.520157
2017-06-15,10.406322479248049,10.534065
2017-06-16,10.397786140441896,10.519482
2017-06-19,10.4148588180542,10.501287
2017-06-20,10.397786140441896,10.518645
2017-06-21,10.440469741821287,10.43289
2017-06-22,10.44900608062744,10.40826
2017-06-23,10.406322479248049,10.5389
2017-06-26,10.525836944580078,10.505424
2017-06-27,10.406322479248049,10.532538
2017-06-28,10.32949161529541,10.48734
2017-06-29,10.4148588180542,10.422887
2017-06-30,10.4148588180542,10.462708
2017-07-03,10.397786140441896,10.458439
2017-07-04,10.406322479248049,10.462708
2017-07-05,10.32949161529541,10.439153
2017-07-06,10.244123458862305,10.396473
2017-07-07,10.158756256103516,10.352349
2017-07-10,10.184367179870604,10.28635
2017-07-11,10.218513488769531,10.304636
2017-07-12,10.209976196289062,10.31381
2017-07-13,10.244123458862305,10.342032
2017-07-14,10.209976196289062,10.336046
2017-07-17,10.150219917297363,10.313256
2017-07-18,10.141682624816896,10.305468
2017-07-19,10.150219917297363,10.1723175
2017-07-20,10.005093574523926,10.310883
2017-07-21,9.970948219299316,10.124715
2017-07-24,10.056314468383787,10.141817
2017-07-25,9.996557235717772,10.1914425
2017-07-26,9.988019943237305,10.125268
2017-07-27,10.030704498291016,10.125268
2017-07-28,10.005093574523926,10.18061
2017-07-31,10.11607265472412,10.181099
2017-08-01,10.11607265472412,10.229371
2017-08-02,10.07338809967041,10.213656
2017-08-03,10.11607265472412,10.218961
2017-08-04,10.150219917297363,10.203363
2017-08-07,10.22705078125,10.198412
2017-08-08,10.22705078125,10.337558
2017-08-09,10.175830841064451,10.311262
2017-08-10,10.175830841064451,10.202824
2017-08-11,10.184367179870604,10.303393
2017-08-14,10.158756256103516,10.283204
2017-08-15,10.175830841064451,10.28635
2017-08-16,10.158756256103516,10.278609
2017-08-17,10.056314468383787,10.310046
2017-08-18,10.030704498291016,10.218286
2017-08-21,10.030704498291016,10.18061
2017-08-22,10.030704498291016,10.181444
2017-08-23,10.107536315917969,10.111051
2017-08-24,10.218513488769531,10.213656
2017-08-25,10.22705078125,10.326369
2017-08-28,10.22705078125,10.335775
2017-08-29,10.22705078125,10.326887
2017-08-30,10.440469741821287,10.337558
2017-08-31,10.474617004394531,10.505573
2017-09-01,10.491689682006836,10.5154505
2017-09-04,10.483153343200684,10.510068
2017-09-05,10.525836944580078,10.57778
2017-09-06,10.500226974487305,10.585851
2017-09-07,10.500226974487305,10.491433
2017-09-08,10.508764266967772,10.558544
2017-09-11,10.628277778625488,10.513243
2017-09-12,10.730719566345217,10.703492
2017-09-13,10.858771324157717,10.7499695
2017-09-14,11.123411178588867,10.830923
2017-09-15,11.41366195678711,11.234992
2017-09-18,11.524638175964355,11.436029
2017-09-19,11.447808265686035,11.5192995
2017-09-20,11.439270973205566,11.43819
2017-09-21,11.447808265686035,11.43819
2017-09-22,11.601469993591309,11.443452
2017-09-25,11.353903770446776,11.539843
2017-09-26,11.490492820739746,11.324677
2017-09-27,11.353903770446776,11.510185
2017-09-28,11.319756507873535,11.3609495
2017-09-29,11.311220169067385,11.339015
2017-10-02,11.48195457458496,11.380164
2017-10-03,11.378607749938965,11.564959
2017-10-04,11.378607749938965,11.392564
2017-10-05,11.387299537658691,11.361611
2017-10-06,11.387299537658691,11.385699
2017-10-09,11.378607749938965,11.3785515
2017-10-10,11.387299537658691,11.392266
2017-10-11,11.387299537658691,11.389132
2017-10-12,11.387299537658691,11.428866
2017-10-13,11.448147773742676,11.397272
2017-10-16,11.43076229095459,11.383708
2017-10-17,11.387299537658691,11.376712
2017-10-18,11.387299537658691,11.3902235
2017-10-19,11.387299537658691,11.3785515
2017-10-20,11.387299537658691,11.373007
2017-10-23,11.291681289672852,11.389414
2017-10-24,11.26560401916504,11.224073
2017-10-25,11.152599334716797,11.267749
2017-10-26,11.074365615844728,11.264541
2017-10-27,11.08305835723877,11.10351
2017-10-30,11.126522064208984,11.090636
2017-10-31,11.065672874450684,11.159499
2017-11-03,11.013517379760742,11.076715
2017-11-06,11.004825592041016,11.009164
2017-11-07,10.874436378479004,11.017627
2017-11-08,10.857050895690918,10.889416
2017-11-13,10.622350692749023,10.878999
2017-11-14,10.43111515045166,10.690979
2017-11-15,10.43111515045166,10.505573
2017-11-16,10.43111515045166,10.505573
2017-11-20,10.43111515045166,10.522799
2017-11-21,10.552810668945312,10.50502
2017-11-22,10.552810668945312,10.573428
2017-11-23,10.561503410339355,10.556325
2017-11-24,10.544118881225586,10.50496
2017-11-27,10.43111515045166,10.554009
2017-11-28,10.405036926269531,10.46535
2017-11-29,10.405036926269531,10.461621
2017-11-30,10.474576950073242,10.502378
